CUST_NO,간식류,건강식품,농산물,수산물,식사류/반찬,육류,음료,주류
1,2.2986425339366514,1.1111111111111112,2.876190476190476,2.5510204081632653,2.9466666666666668,2.875,2.9047619047619047,1.9
2,2.376543209876543,1.6666666666666667,1.9776536312849162,1.372093023255814,1.5294117647058822,3.0,2.125,4.269230769230769
3,4.587628865979381,,4.407608695652174,3.774193548387097,3.909090909090909,3.933333333333333,4.4969325153374236,4.892339544513457
4,2.795238095238095,2.875,3.526315789473684,3.7857142857142856,2.0892857142857144,3.269230769230769,3.759259259259259,4.428571428571429
5,2.16875,1.5294117647058822,3.5485436893203883,2.76,2.6666666666666665,2.2222222222222223,2.1153846153846154,3.857142857142857
6,3.2914285714285714,3.3333333333333335,4.106422018348624,3.7872340425531914,2.891304347826087,2.6,3.943877551020408,5.0
7,2.147169811320755,3.0,3.377049180327869,2.4210526315789473,3.3333333333333335,2.4390243902439024,2.918918918918919,5.0
8,2.363128491620112,1.75,2.8136439267886857,2.638036809815951,3.076923076923077,2.2037037037037037,3.6296296296296298,4.524390243902439
9,1.619047619047619,1.0,2.6,2.1818181818181817,1.0,2.25,2.56,2.9411764705882355
10,3.9743040685224837,5.0,4.473684210526316,3.8435582822085887,3.6390041493775933,3.8079096045197742,4.503340757238307,4.888888888888889
11,2.3840579710144927,1.875,2.1307692307692307,2.1538461538461537,3.5454545454545454,2.242424242424242,2.423076923076923,2.169811320754717
12,3.814814814814815,5.0,3.6033519553072626,3.888888888888889,3.576923076923077,3.5833333333333335,2.423076923076923,1.25
13,4.0022172949002215,5.0,4.064777327935222,3.717948717948718,3.5183374083129584,4.157575757575757,3.9539641943734014,4.717948717948718
14,2.563380281690141,1.3333333333333333,3.077889447236181,2.933333333333333,2.6056338028169015,2.6142857142857143,4.5,4.0
15,3.292929292929293,3.3333333333333335,3.7335243553008595,2.94,3.216,3.476923076923077,4.1911764705882355,3.9583333333333335
16,3.1555555555555554,2.0,2.5784615384615384,1.8305084745762712,2.5,2.823529411764706,4.75,4.5
