,제휴사,대분류코드,중분류코드,소분류코드,중분류명,소분류명,간략분류
0,B,01,0101,B010101,열매채소,가지,농산물
1,B,01,0101,B010102,열매채소,고추,농산물
2,B,01,0101,B010103,열매채소,구색 호박,농산물
3,B,01,0101,B010104,열매채소,기타열매채소,농산물
4,B,01,0101,B010105,열매채소,단호박,농산물
5,B,01,0101,B010106,열매채소,애호박,농산물
6,B,01,0101,B010107,열매채소,여주,농산물
7,B,01,0101,B010108,열매채소,오이,농산물
8,B,01,0101,B010109,열매채소,옥수수,농산물
9,B,01,0101,B010110,열매채소,친환경열매채소,농산물
10,B,01,0101,B010111,열매채소,콩류,농산물
11,B,01,0101,B010112,열매채소,피망,농산물
12,B,01,0102,B010201,버섯,건버섯,농산물
13,B,01,0102,B010202,버섯,느타리버섯,농산물
14,B,01,0102,B010203,버섯,버섯모둠,농산물
15,B,01,0102,B010204,버섯,버섯선물세트,농산물
16,B,01,0102,B010205,버섯,새송이버섯,농산물
17,B,01,0102,B010206,버섯,양송이버섯,농산물
18,B,01,0102,B010207,버섯,이색버섯,농산물
19,B,01,0102,B010208,버섯,팽이버섯,농산물
20,B,01,0102,B010209,버섯,표고버섯,농산물
21,B,01,0103,B010301,온라인버섯/열매채소,온라인열매채소,농산물
22,B,02,0201,B020101,조리반찬,나물/부침,가공식품
23,B,02,0201,B020102,조리반찬,반찬류,가공식품
24,B,02,0201,B020103,조리반찬,젓갈류,가공식품
25,B,02,0201,B020104,조리반찬,즉석김치류,가공식품
26,B,02,0201,B020105,조리반찬,즉석국탕/볶음,가공식품
27,B,02,0202,B020201,시즌반찬,제철반찬,가공식품
28,B,02,0202,B020202,시즌반찬,김장김치,가공식품
29,B,03,0301,B030101,포장젓갈,저염젓갈,가공식품
30,B,03,0301,B030102,포장젓갈,일반젓갈,가공식품
31,B,03,0302,B030201,포장반찬,절임반찬,가공식품
32,B,03,0302,B030202,포장반찬,조림반찬,가공식품
33,B,03,0302,B030203,포장반찬,메인요리,가공식품
34,B,03,0302,B030204,포장반찬,볶음/무침반찬,가공식품
35,B,04,0401,B040101,양곡,일반미,농산물
36,B,04,0401,B040102,양곡,기능성미,농산물
37,B,04,0401,B040103,양곡,친환경양곡,농산물
38,B,04,0402,B040201,잡곡류,미곡류,농산물
39,B,04,0402,B040202,잡곡류,콩류,농산물
40,B,04,0402,B040203,잡곡류,보리류,농산물
